epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8503,2.05459,2.97104,2.34006,0.89007,0.12175,0.15118,0.06236,2.35746,3.53959,2.89795,0.00032967,0.00032967,0.0673626
2,63.437,1.9877,2.79,2.33312,0.82822,0.07244,0.07012,0.02825,2.41459,4.561,3.02852,0.000662842,0.000662842,0.0343625
3,93.198,1.96669,2.79985,2.31318,0.82571,0.11847,0.09222,0.03005,2.69463,4.26697,3.12651,0.000995364,0.000995364,0.00136166
4,122.518,1.96,2.77935,2.31381,0.69162,0.19997,0.15415,0.05382,2.25523,4.36802,2.72874,0.000997803,0.000997803,0.000997803
5,151.687,1.96591,2.7745,2.33519,0.89027,0.09903,0.15413,0.05519,2.27422,3.5998,2.75954,0.000996097,0.000996097,0.000996097
6,179.931,1.90721,2.65167,2.25937,0.47554,0.19889,0.18371,0.07198,2.23057,2.97873,2.67951,0.000993906,0.000993906,0.000993906
7,208.101,1.90522,2.66346,2.25751,0.50998,0.23471,0.2252,0.0981,2.1569,2.7202,2.66141,0.000991232,0.000991232,0.000991232
8,236.457,1.86101,2.61803,2.23131,0.58522,0.23099,0.22786,0.09452,2.1999,2.71291,2.59465,0.000988079,0.000988079,0.000988079
9,264.57,1.84202,2.53781,2.19872,0.83885,0.21663,0.25856,0.11835,2.17096,2.62014,2.54961,0.000984449,0.000984449,0.000984449
10,292.716,1.84122,2.50957,2.18489,0.57808,0.2802,0.27889,0.13597,2.13508,2.73676,2.48222,0.000980345,0.000980345,0.000980345
11,320.94,1.86002,2.55861,2.21875,0.34751,0.28038,0.27094,0.11764,2.17969,2.63786,2.57766,0.000975773,0.000975773,0.000975773
12,348.926,1.81116,2.45652,2.16777,0.3112,0.28412,0.28581,0.13623,2.07955,2.46903,2.48911,0.000970736,0.000970736,0.000970736
13,376.991,1.80962,2.46929,2.16826,0.6394,0.27271,0.28486,0.1272,2.12561,2.52649,2.57768,0.000965239,0.000965239,0.000965239
14,404.848,1.80666,2.44469,2.1562,0.29136,0.27465,0.26753,0.12232,2.12469,2.52148,2.5575,0.000959289,0.000959289,0.000959289
15,434.265,1.82422,2.48112,2.16672,0.86636,0.25249,0.28591,0.12438,2.16632,2.48442,2.57065,0.000952889,0.000952889,0.000952889
16,463.69,1.80687,2.45045,2.13545,0.63018,0.25504,0.3014,0.1472,2.0836,2.38168,2.51058,0.000946048,0.000946048,0.000946048
17,493.159,1.78815,2.45031,2.1432,0.45772,0.28332,0.30322,0.13036,2.10345,2.38417,2.49888,0.000938772,0.000938772,0.000938772
18,522.076,1.75309,2.41353,2.12712,0.48444,0.27243,0.28892,0.12159,2.14266,2.43576,2.53385,0.000931067,0.000931067,0.000931067
19,551.122,1.78087,2.38786,2.12449,0.38825,0.29637,0.29641,0.12902,2.08942,2.46691,2.4979,0.000922942,0.000922942,0.000922942
20,580.165,1.7438,2.34792,2.09024,0.72219,0.25802,0.2921,0.14405,2.06011,2.49182,2.53461,0.000914405,0.000914405,0.000914405
21,609.62,1.78406,2.36241,2.10923,0.62149,0.30493,0.3267,0.15871,2.07776,2.44779,2.42745,0.000905463,0.000905463,0.000905463
22,639.558,1.75644,2.35636,2.10921,0.48609,0.29004,0.31162,0.14986,2.07561,2.33459,2.46723,0.000896127,0.000896127,0.000896127
23,668.72,1.74849,2.31491,2.08311,0.44224,0.31205,0.31522,0.15178,2.06704,2.30948,2.46835,0.000886404,0.000886404,0.000886404
24,697.793,1.74747,2.31068,2.10745,0.36474,0.32574,0.32116,0.16537,2.01281,2.3197,2.43857,0.000876305,0.000876305,0.000876305
25,726.982,1.73645,2.30406,2.09536,0.36708,0.30459,0.31679,0.14339,2.12125,2.2632,2.51664,0.000865839,0.000865839,0.000865839
26,756.106,1.74069,2.2758,2.09325,0.64834,0.26923,0.31656,0.14961,2.05048,2.31366,2.44248,0.000855018,0.000855018,0.000855018
27,785.131,1.76442,2.31567,2.10185,0.35198,0.32715,0.32392,0.16338,1.9965,2.32648,2.42879,0.000843851,0.000843851,0.000843851
28,814.146,1.72404,2.28627,2.08902,0.40187,0.2794,0.32008,0.14551,2.09413,2.29366,2.49677,0.000832349,0.000832349,0.000832349
29,843.641,1.71752,2.26117,2.07322,0.46884,0.29466,0.31653,0.13267,2.12298,2.30167,2.53052,0.000820525,0.000820525,0.000820525
30,873.01,1.73824,2.29412,2.07544,0.71362,0.29695,0.32534,0.15967,2.04977,2.27216,2.4237,0.000808389,0.000808389,0.000808389
31,902.259,1.72231,2.29515,2.07757,0.49082,0.29118,0.32893,0.16595,2.02331,2.28006,2.43135,0.000795954,0.000795954,0.000795954
32,932.042,1.73572,2.2677,2.09079,0.39221,0.33569,0.33821,0.15628,2.0859,2.2647,2.45697,0.000783231,0.000783231,0.000783231
33,960.97,1.70076,2.20746,2.0298,0.70543,0.28891,0.3229,0.14493,2.08264,2.31924,2.43915,0.000770234,0.000770234,0.000770234
