epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,406.685,1.66357,3.11003,1.92427,1.51941,0,0.10272,0.16632,0.0646,0.01952,0.09582,0.13919,0.0457,0.01379,2.35467,3.85488,2.47845,2.16892,0,0.000332702,0.000332702,0.0336976
2,1180.77,1.68023,2.9898,1.76098,1.52827,0,0.21194,0.22461,0.13128,0.0571,0.19573,0.20466,0.10421,0.03595,2.33326,3.68398,2.22797,2.10092,0,0.000665939,0.000665939,0.0173642
3,1544.58,1.66451,2.95371,1.71058,1.51447,0,0.22743,0.30297,0.18341,0.07262,0.23061,0.27174,0.16293,0.0516,2.22956,3.55718,2.27494,2.01276,0,0.000998791,0.000998791,0.00103036
4,1909.39,1.66029,2.92948,1.64701,1.5158,0,0.151,0.29236,0.10663,0.03999,0.14426,0.26594,0.0968,0.02714,2.18795,3.54052,2.30269,1.95884,0,0.0009987,0.0009987,0.0009987
5,2272.24,1.62236,2.84896,1.57781,1.47348,0,0.28888,0.29321,0.23954,0.10191,0.29684,0.26378,0.20199,0.06824,2.14858,3.41659,2.18012,1.91797,0,0.000997689,0.000997689,0.000997689
6,2638.12,1.58436,2.80907,1.53154,1.44502,0,0.3187,0.34821,0.28684,0.11976,0.30076,0.34083,0.26537,0.08871,2.1186,3.35288,1.96887,1.87724,0,0.000996391,0.000996391,0.000996391
7,3002.79,1.57703,2.75774,1.46922,1.4243,0,0.31375,0.32718,0.26511,0.11739,0.28456,0.29812,0.22663,0.08225,2.10738,3.29633,1.87776,1.87407,0,0.000994806,0.000994806,0.000994806
8,3366.4,1.56365,2.74766,1.44982,1.4215,0,0.32701,0.39495,0.28558,0.13054,0.32868,0.35936,0.2584,0.08884,2.05831,3.25378,1.91583,1.86951,0,0.000992934,0.000992934,0.000992934
9,3730.78,1.54149,2.70795,1.40983,1.40388,0,0.3254,0.38271,0.2811,0.13019,0.33276,0.36511,0.26041,0.09601,2.02066,3.23291,1.98173,1.82297,0,0.000990778,0.000990778,0.000990778
10,4093.66,1.51832,2.67393,1.38601,1.39786,0,0.3662,0.37206,0.29363,0.12824,0.34776,0.36624,0.26055,0.09102,2.04582,3.18363,1.7786,1.81876,0,0.000988338,0.000988338,0.000988338
11,4456.05,1.51812,2.65906,1.36118,1.40519,0,0.39648,0.38149,0.34058,0.15058,0.35909,0.35777,0.30258,0.11236,2.03578,3.21245,1.74649,1.81524,0,0.000985616,0.000985616,0.000985616
12,4819.84,1.49747,2.59982,1.31937,1.38346,0,0.37918,0.34265,0.29301,0.1307,0.35531,0.32714,0.25204,0.09865,2.055,3.28102,1.76452,1.81734,0,0.000982613,0.000982613,0.000982613
13,5183.31,1.48385,2.58125,1.30082,1.3625,0,0.34361,0.38745,0.31583,0.14567,0.33433,0.36919,0.29223,0.10944,2.00483,3.14514,1.70874,1.76855,0,0.000979332,0.000979332,0.000979332
14,5546.92,1.49529,2.57883,1.28673,1.37097,0,0.40093,0.37831,0.33327,0.15682,0.35705,0.34405,0.2837,0.11108,2.01628,3.16848,1.67739,1.78897,0,0.000975773,0.000975773,0.000975773
