epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7662,1.96829,4.21538,1.76388,1.78118,0,0.60391,0.46134,0.53288,0.28278,0.18435,0.10878,0.05233,0.01596,1.76297,28.3865,3.41073,1.71153,0,0.000196491,0.000196491,0.0805474
2,51.0467,1.59668,3.38684,1.22123,1.47404,0,0.61102,0.65662,0.62472,0.39492,0.29347,0.33683,0.15603,0.04911,1.43454,10.0469,1.78065,1.55562,0,0.000396467,0.000396467,0.0607473
3,71.9524,1.44909,3.07741,1.08724,1.37187,0,0.83908,0.74312,0.83417,0.52432,0.8131,0.71272,0.77504,0.35352,1.46309,3.58435,1.45908,1.58837,0,0.000596346,0.000596346,0.0409472
4,94.204,1.44934,3.07104,1.0612,1.38673,0,0.882,0.75435,0.85585,0.5681,0.7945,0.67897,0.72211,0.3462,1.31182,3.90633,1.72904,1.48615,0,0.000796054,0.000796054,0.0211469
5,115.123,1.39773,2.94764,1.00276,1.34098,0,0.90568,0.75507,0.87088,0.55514,0.8948,0.75229,0.85391,0.4457,1.49415,3.08289,1.26123,1.56518,0,0.000995518,0.000995518,0.0013464
6,135.861,1.40353,2.96921,1.01337,1.34871,0,0.89682,0.78602,0.87437,0.57361,0.89659,0.80677,0.88113,0.49152,1.42366,2.80868,1.15338,1.50442,0,0.000998474,0.000998474,0.000998474
7,157.12,1.3752,2.85781,0.94018,1.3063,0,0.92065,0.76802,0.88826,0.61726,0.92568,0.79817,0.89773,0.53319,1.42247,2.53216,1.20287,1.58085,0,0.000997803,0.000997803,0.000997803
8,177.201,1.3436,2.79114,0.93923,1.31087,0,0.9358,0.83224,0.92682,0.64758,0.92031,0.81735,0.8984,0.5797,1.30172,2.77918,0.84523,1.44014,0,0.000997011,0.000997011,0.000997011
9,199.012,1.31485,2.73543,0.91386,1.3021,0,0.89871,0.79423,0.89057,0.6111,0.88824,0.80205,0.88671,0.55779,1.40495,2.53957,1.13865,1.53642,0,0.000996097,0.000996097,0.000996097
10,219.912,1.25481,2.51153,0.83441,1.26112,0,0.92801,0.80472,0.90911,0.62589,0.93944,0.80734,0.90703,0.57707,1.3758,2.32757,0.99052,1.51015,0,0.000995062,0.000995062,0.000995062
11,241.603,1.27171,2.5851,0.8613,1.27062,0,0.92131,0.79292,0.89617,0.61311,0.92941,0.79948,0.9005,0.57051,1.42676,2.52748,1.08029,1.6343,0,0.000993906,0.000993906,0.000993906
12,262.278,1.24849,2.55457,0.86149,1.27544,0,0.95773,0.76802,0.90116,0.65391,0.90345,0.83224,0.90862,0.5935,1.26226,2.33453,1.04521,1.46216,0,0.000992629,0.000992629,0.000992629
13,281.859,1.25622,2.57224,0.83221,1.25355,0,0.92885,0.84797,0.93944,0.65995,0.94338,0.84535,0.93658,0.62246,1.27937,2.18502,1.05115,1.48372,0,0.000991232,0.000991232,0.000991232
14,302.258,1.21911,2.47622,0.80047,1.23864,0,0.91255,0.80341,0.90389,0.63736,0.90531,0.8395,0.9149,0.61281,1.37932,2.21437,1.0567,1.54839,0,0.000989715,0.000989715,0.000989715
15,321.361,1.19282,2.39048,0.79331,1.23373,0,0.93027,0.80437,0.89982,0.61486,0.93546,0.83617,0.91316,0.59841,1.48607,2.08883,0.98314,1.63241,0,0.000988079,0.000988079,0.000988079
16,342.961,1.21511,2.45845,0.8053,1.25109,0,0.90904,0.84797,0.92539,0.66019,0.93315,0.85982,0.93106,0.63596,1.3535,2.21538,0.86885,1.53582,0,0.000986323,0.000986323,0.000986323
17,363.222,1.2415,2.56779,0.82785,1.27201,0,0.91283,0.85583,0.92868,0.66305,0.92493,0.86763,0.93118,0.60525,1.35164,2.38363,0.84274,1.55058,0,0.000984449,0.000984449,0.000984449
18,383.737,1.22795,2.52435,0.82281,1.24407,0,0.92209,0.86863,0.9388,0.67026,0.93214,0.87287,0.93915,0.63701,1.29742,2.15666,0.79774,1.43118,0,0.000982456,0.000982456,0.000982456
